SCHEM,KEY,TXT,USR_TXT,USR_TXT2,USR_TXT3,USR_TXT4,USR_TXT5,PACKAGE_NAME,PURPOSE,COM,USE_MERGE_FLG,MERGE_STRING,DUPLICATION_PROHIBITION_FLG,PRC_DATE
root,air_jnjstruc_selected_title,選択中の所属,選択中の所属,,,,,shuro.air_on_web,,選択中の所属,0,,0,2014/04/23 11:36:31
root,air_just_this_syz,この所属のみ,この所属のみ,,,,,shuro.air_on_web,,この所属のみ,0,,0,2014/04/23 11:36:32
root,air_too_old_eyear_error,終了日に不正な年が入力されています。年を入力しなおして下さい。,終了日に不正な年が入力されています。年を入力しなおして下さい。,,,,,shuro.air_on_web,,入力した終了年が4桁未満であればエラーを表示します。,0,,0,2013/07/25 20:10:00
root,air_too_old_syear_error,開始日に不正な年が入力されています。年を入力しなおして下さい。,開始日に不正な年が入力されています。年を入力しなおして下さい。,,,,,shuro.air_on_web,,入力した開始年が4桁未満であればエラーを表示します。,0,,0,2013/07/25 20:10:00
root,air_too_old_year_error,不正な年が入力されています。年を入力しなおして下さい。,不正な年が入力されています。年を入力しなおして下さい。,,,,,shuro.air_on_web,,入力した年が4桁未満であればエラーを表示します。,0,,0,2013/07/25 20:10:00
root,alert_multi_chk_no_target,編集できる人が誰もいません。,編集できる人が誰もいません。_DICT,,,,,shuro.personal_approver_editor,,承認者一括編集画面の警告文,0,,0,2012/10/15 17:54:00
root,alert_no_select_approver,新しい承認者を指定してください。,新しい承認者を指定してください。_DICT,,,,,shuro.personal_approver_editor,,承認者一括編集画面の警告文,0,,0,2012/10/15 17:54:00
root,alert_no_to_no_approver,未設定から未設定への変更は出来ません。,未設定から未設定への変更は出来ません。_DICT,,,,,shuro.personal_approver_editor,,承認者一括編集画面の警告文,0,,0,2012/10/15 17:54:00
root,alert_same_approver,変更前と変更後の承認者が同じです。,変更前と変更後の承認者が同じです。_DICT,,,,,shuro.personal_approver_editor,,承認者一括編集画面の警告文,0,,0,2012/10/15 17:54:00
root,alert_syz_to_no_approver,所属別フロー⇒承認者未設定変更は出来ません。,所属別フロー⇒承認者未設定変更は出来ません。_DICT,,,,,shuro.personal_approver_editor,,承認者一括編集画面の警告文,0,,0,2012/10/15 17:54:00
root,alert_unable_change_calendar_msg,実績がすでに入力されているため、カレンダーは変更できません！,実績がすでに入力されているため、カレンダーは変更できません！,,,,,shuro.workschedule,,警告,0,,0,2006/07/21 08:35:17
